,Name,Price/KSH,Rating,Review
0,Midea Hot And Cold F/s Yl1932s,"KSh 7,999",,
1,Pembe Maize Meal – 2Kg,KSh 144,4.5,282
2,Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum -50ml.,KSh 325,4.1,3345
3,Fashion 6Pcs Pure Cotton Checked Men's Boxers – Multicolor,KSh 809,3.9,1216
4,Garnier Even And Matte - Vitamin C Booster Serum,"KSh 1,050",4.5,1494
5,Kabras Premium White Sugar - 2kg,KSh 242,4.6,355
6,Exe All Purpose Flour 2Kg,KSh 165,4.5,521
7,Garnier Even & Matte Dark Spot Corrector,KSh 585,4 o,729
8,Jogoo Maize 5Kg,KSh 352,4.4,4838
9,Deliya 2200W Hair Dryer Blow Dryer Hair Tools+ 6 Gifts,"KSh 1,199",3.8,970
10,NIVEA UV Face Shine Control Cream SPF 50  - 50ml,KSh 788,4.7,644
11,Fashion 3PACK Pure Cotton Brief Boxers Men's Underwear,KSh 485,4 o,85
12,Annov 2L Electric Automatic Kettle,KSh 854,4.2,511
13,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,KSh 776,4.5,2781
14,Nutrameal Packed Sugar – 1Kg,KSh 126,4.5,841
15,Fashion 4Pairs Finest Cotton Freesize Unisex Plain Invisible Socks,KSh 160,4.1,1598
16,Teeth Whitening Essence Removes Plaque,KSh 299,3.4,213
17,Jogoo Maize Meal - 2Kg,KSh 140,4.4,375
18,Generic Round Mosquito Net- Free Size,KSh 880,4.2,73
19,Generic F9 Bluetooth Wireless Earphone + 2000mAh Battery,KSh 998,4.2,506
20,Fashion Mother's Day Ladies Handbags Women Tote Shoulder Bags Set Wallet Leather 4 In 1-Pink,KSh 951,3.8,1490
21,"Annov Automatic Electric Kettle, 2L+OTG Cable+Earphones",KSh 799,3.8,442
22,Toilex Poa Toilet Paper White 10 Pack Unwrapped,KSh 165,3.8,754
23,Nutrameal Packed Sugar – 2Kg,KSh 259,4.5,1021
24,Kabras Premium White Sugar - 1kg x 20 Bale),"KSh 2,347",4.6,22
25,Nova 2 In 1 Curling Iron Hair Straightener Flat Iron Styling Tools,KSh 629,3.8,548
26,Menengai Cream Bar Soap - 800g,KSh 179,4.6,229
27,Amana Pishori - 5kg,KSh 986,4.4,1398
28,Pembe All Purpose Home Baking Flour - 2Kg,KSh 166,4.6,218
29,NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women,KSh 861,4.5,875
30,Soko Maize Meal - 2Kg,KSh 144,4.5,405
31,Menengai Cream Bar Soap - 1kg,KSh 199,4.6,304
32,Samsung Galaxy A12 - 6.5″ - 128GB + 4GB RAM - Dual SIM- 5000mAh - Black.,"KSh 18,499",4.5,173
33,HP 32GB Metallic Flash Disk Pen Drive +Free OTG Cable,KSh 599,4.2,480
34,"VON VADZ0002K, Portable Water Dispenser - Black",KSh 895,4.5,263
35,"Generic 14""-42"" TV Flat Panel Wall Bracket Holder Black",KSh 265,4.1,1733
36,HP V250W Flash Disk With Clip - 64GB - Silver,KSh 765,4 o,328
37,Generic In-ear Bluetooth Headset Microphone Hands-free,KSh 590,4.1,161
38,Fashion Mother's Day Ladies Handbags Shoulder Tote Bag Set Women Wallet Leather 4 In 1-Black,KSh 951,3.6,943
39,Samsung Flash Disk 32 GB – Silver,KSh 499,4.1,1560
40,Generic 40 Pieces Alto/Tenor  Mouthpiece  Pad Rubber Cushions,KSh 362,,
41,Generic OPPO A52 Case Soft Flowers Phone Back Cover,KSh 380,,
42,TP Link Wi-Fi Range Extender 300Mbps TL-WA854RE,"KSh 3,050",,
43,"Generic IPhone 13 Case, Slide Lens Protection Rugged Armor Impact-Resistant Case Cover With Ring Holder Stand And Card Slot For IPhone 13",KSh 920,,
44,Fashion Half Cup Bra Push Up White Women Lingerie Embroidery Brassiere Thin Cotton Comfortable Sexy Underwear Lace Bras A B C D Cup(#Black) SHA,"KSh 2,205",,
45,Carg7 Car G7 Hands Free Aux Bluetooth FM Transmitter USB Charger,KSh 595,,
46,"Generic Knead Skin Texture Horizontal Flip Leather Case for One Plus 7, with Photo Frame & Holder & Card Slots & Wallet(Black)",KSh 899,,
47,Generic Case for IPhone 6 6S Plus 7 7Plus 8 Slim Hybrid Soft Cover Fabric Design Canvas Stripe Casing,"KSh 1,240",,
48,Generic MultiPurpose Folding Grabber Reacher Litter Picker Pick Up Reach Tool,"KSh 1,536",,
49,Generic 3x Bike Front Fork Protector Sticker Cycling Bike Frame Front Fork,KSh 379,,
50,Memory GOLDEN MEMORY 4GB DDR3 1600MHZ DESKTOP,"KSh 3,000",4 o,
51,Generic 30x Alloy Skull Cross Pendant Jewelry Making Charms For DIY Necklace,KSh 530,,
52,Generic Mountain Bike Color Discs Screws Alloy Steel Brake Pads Durable Multi-colors,KSh 270,,
53,Fashion 2Pcs You Are My Person Two Halves Couple Necklace-Silver,KSh 258,,
54,Bafo Usb To Parallel Adapter,"KSh 1,200",,
55,Generic Double Layer -32Pcs Safe Egg Storage Box,"KSh 1,200",,
